x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,r_database,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
0.000,58699570,5926298926.221,57748686,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
0.500,58699009,3844906487.120,57748325,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
1.000,58698248,2494525854.794,57747720,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
1.500,58696262,1618416276.464,57745598,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
2.000,58689944,1050007655.318,57738674,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
2.500,58671507,681231455.875,57718866,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
3.000,58619496,441974202.876,57663641,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
3.500,58481183,286747175.756,57520697,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
4.000,58092541,186037877.932,57120472,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
4.500,57011032,120698981.374,56019275,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
5.000,53683088,78307946.030,52645951,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
5.500,43232569,50805187.763,42201438,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
6.000,30200755,32961752.088,29257263,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
6.500,20416694,21385160.622,19589068,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
7.000,13610186,13874417.040,12891560,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
7.500,8985401,9001543.247,8395087,true,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
