x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,r_database,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
1.500,14042449,517525928.256,13639334,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
2.000,14042434,322301816.600,13639326,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
2.500,14042357,200721268.852,13639249,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
3.000,14041953,125004035.642,13638884,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
3.500,14040315,77849293.282,13637290,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
4.000,14031448,48482534.450,13628400,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
4.500,13977757,30193673.541,13574007,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
5.000,13616375,18803842.089,13208994,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
5.500,11266155,11710548.464,10877133,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
6.000,7627106,7293027.919,7322311,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
6.500,5024622,4541909.919,4796692,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
7.000,3258888,2828584.497,3096733,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
7.500,2086313,1761569.560,1972951,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
8.000,1321999,1097060.144,1243104,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
8.500,829046,683220.797,776600,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
9.000,515728,425492.313,480551,false,0.9471424032532992,0.022720846436386447,0.45620623456684506,0.5086568408438559,database,shuffled-dipeptide,2,8,200,37275,2529869,0.5
