x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,slope,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
1.500,14014134,1403254084.197,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
2.000,14014121,835800529.947,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
2.500,14014036,497816135.885,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
3.000,14013634,296507236.198,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
3.500,14011959,176604442.444,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
4.000,14003214,105188424.711,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
4.500,13949666,62651904.675,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
5.000,13590577,37316474.414,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
5.500,11240329,22226287.771,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
6.000,7605705,13238331.751,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
6.500,5007602,7884961.689,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
7.000,3243642,4696409.034,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
7.500,2076141,2797256.180,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
8.000,1315983,1666090.428,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
8.500,825222,992350.051,,false,1.0363183605436814,0.07042415546881307,0.45620623456684506,0.5086568408438559,reversed,,2,8,200,37275,2529869,0.5
