score,n_regions_at_least,fitted_n_regions_at_least,in_fit,lambda,k,lambda_analytic,match_probability,null,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers
12,14042449,9280824.469,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
13,9881941,6194070.664,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
14,6843368,4133955.072,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
15,4674306,2759023.180,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
16,3156591,1841386.462,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
17,2112866,1228950.930,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
18,1401748,820208.262,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
19,921249,547411.272,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
20,601193,365345.139,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
21,389937,243833.251,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
22,250999,162735.584,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
23,161182,108610.578,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
24,103191,72487.266,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
25,66052,48378.380,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
26,42052,32287.983,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
27,26797,21549.168,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
28,17021,14382.027,false,0.40435789662228183,0.012600730174052135,0.4562062345668446,0.508656840843856,database,2,8,200,37275,2529869
