score,n_regions_at_least,fitted_n_regions_at_least,in_fit,lambda,k,lambda_analytic,match_probability,null,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers
12,70073144,49703537.791,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
13,49407476,33091532.240,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
14,34266293,22031620.980,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
15,23445088,14668173.099,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
16,15860819,9765749.976,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
17,10628073,6501823.503,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
18,7059279,4328772.390,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
19,4651122,2882002.317,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
20,3041006,1918774.334,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
21,1975163,1277478.134,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
22,1272868,850517.101,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
23,818523,566255.750,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
24,524874,377000.737,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
25,335762,250998.875,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
26,214722,167109.581,false,0.4067986874018045,0.014124880122749138,0.4526644838587708,0.5098856766924897,database,2,8,1000,183379,2529869
