score,n_regions_at_least,fitted_n_regions_at_least,in_fit,lambda,k,lambda_analytic,match_probability,null,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers
12,14014134,19154285.348,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
13,9858057,12244515.694,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
14,6824670,7827395.377,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
15,4658508,5003719.210,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
16,3144874,3198663.760,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
17,2101804,2044768.985,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
18,1393646,1307133.389,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
19,916164,835594.490,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
20,597667,534159.832,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
21,387533,341465.543,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
22,249047,218284.323,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
23,159520,139539.835,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
24,101666,89201.850,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
25,64445,57022.929,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
26,40801,36452.321,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
27,25950,23302.410,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
28,16454,14896.235,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
29,10166,9522.526,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
30,6454,6087.344,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
31,4016,3891.379,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
32,2499,2487.592,true,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
33,1598,1590.211,true,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
34,993,1016.554,true,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
35,665,649.840,true,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
36,426,415.415,true,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
37,260,265.557,true,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
38,172,169.759,true,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
39,111,108.520,true,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
40,71,69.372,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
41,45,44.347,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
42,23,28.349,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
43,15,18.122,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
44,10,11.585,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
45,7,7.406,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
46,4,4.734,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
47,2,3.026,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
48,2,1.935,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
49,1,1.237,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
50,1,0.791,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
51,1,0.505,false,0.44744833022668146,0.04361565074052546,0.45620623456684506,0.5086568408438559,reversed,2,8,200,37275,2529869
