score,n_regions_at_least,fitted_n_regions_at_least,in_fit,lambda,k,lambda_analytic,match_probability,null,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers
12,69898808,225919667.638,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
13,49252935,138869024.550,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
14,34134296,85360456.578,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
15,23331197,52469638.718,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
16,15768896,32252205.501,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
17,10556500,19824888.928,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
18,7004615,12186026.192,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
19,4612528,7490545.592,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
20,3010577,4604312.544,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
21,1953293,2830193.575,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
22,1256844,1739672.447,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
23,806458,1069347.429,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
24,514586,657309.901,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
25,327384,404037.354,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
26,207185,248354.974,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
27,131014,152659.631,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
28,82593,93837.311,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
29,51592,57680.218,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
30,32426,35455.061,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
31,20430,21793.631,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
32,12779,13396.179,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
33,8001,8234.406,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
34,4938,5061.551,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
35,3102,3111.250,true,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
36,1936,1912.433,true,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
37,1189,1175.541,true,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
38,773,722.585,true,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
39,496,444.161,true,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
40,298,273.018,true,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
41,189,167.820,true,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
42,121,103.156,true,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
43,86,63.408,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
44,64,38.976,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
45,52,23.958,false,0.48664826365857,0.16737487795895542,0.4526644838587708,0.5098856766924897,reversed,2,8,1000,183379,2529869
