score,n_regions_at_least,fitted_n_regions_at_least,in_fit,lambda,k,lambda_analytic,match_probability,null,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers
12,13635700,21588213.601,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
13,9552088,13669650.313,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
14,6586970,8655618.438,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
15,4483999,5480734.973,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
16,3019177,3470399.725,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
17,2013339,2197456.055,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
18,1330541,1391428.508,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
19,872976,881052.110,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
20,567918,557881.929,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
21,367021,353250.669,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
22,235105,223678.216,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
23,150256,141632.979,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
24,95335,89681.959,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
25,60536,56786.589,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
26,38240,35957.251,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
27,24099,22768.121,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
28,15095,14416.767,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
29,9449,9128.693,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
30,5961,5780.285,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
31,3696,3660.075,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
32,2292,2317.558,true,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
33,1472,1467.477,true,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
34,945,929.206,true,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
35,586,588.373,true,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
36,379,372.558,true,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
37,226,235.903,true,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
38,135,149.374,true,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
39,88,94.584,true,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
40,52,59.890,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
41,31,37.923,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
42,25,24.013,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
43,17,15.205,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
44,12,9.628,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
45,9,6.096,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
46,4,3.860,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
47,3,2.444,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
48,1,1.548,false,0.45696942933998885,0.055107744942377745,0.45620623456684506,0.5086568408438559,shuffled,2,8,200,37275,2529869
