x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,slope,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
0.000,57710570,26046297926.301,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
0.500,57710288,15676780508.334,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
1.000,57709716,9435561545.132,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
1.500,57707344,5679088357.757,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
2.000,57700344,3418137269.408,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
2.500,57679554,2057313015.135,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
3.000,57622303,1238258299.374,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
3.500,57476832,745284555.480,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
4.000,57074317,448572861.509,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
4.500,55963519,269987631.707,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
5.000,52554556,162500515.590,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
5.500,42079078,97806026.891,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
6.000,29145119,58867621.814,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
6.500,19501013,35431322.671,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
7.000,12839751,21325451.709,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
7.500,8357421,12835391.296,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
8.000,5383578,7725382.419,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
8.500,3435711,4649763.466,,false,1.0153899496601047,0.07915847502768002,0.4499970535423192,0.5108115744279745,shuffled,,2,8,200,71748,4586050,0.5
