x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,slope,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
0.000,57748686,9482597525.821,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
0.500,57748325,5919469139.810,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
1.000,57747720,3695202163.938,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
1.500,57745598,2306713441.674,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
2.000,57738674,1439955560.192,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
2.500,57718866,898885825.118,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
3.000,57663641,561125460.351,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
3.500,57520697,350280061.667,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
4.000,57120472,218660763.539,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
4.500,56019275,136498004.722,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
5.000,52645951,85208269.612,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
5.500,42201438,53190881.617,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
6.000,29257263,33204170.207,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
6.500,19589068,20727554.905,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
7.000,12891560,12939083.544,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
7.500,8395087,8077165.094,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
8.000,5409642,5042134.223,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
8.500,3454796,3147529.762,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
9.000,2186713,1964831.392,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
9.500,1374221,1226537.218,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
10.000,857980,765660.378,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
10.500,533440,477960.070,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
11.000,329998,298364.439,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
11.500,203536,186252.668,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
12.000,124942,116267.396,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
12.500,76450,72579.402,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
13.000,47149,45307.368,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
13.500,29165,28282.922,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
14.000,18067,17655.488,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
14.500,11298,11021.359,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
15.000,6939,6880.034,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
15.500,4371,4294.831,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
16.000,2699,2681.029,,true,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
16.500,1700,1673.620,,true,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
17.000,1041,1044.750,,true,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
17.500,666,652.181,,true,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
18.000,436,407.121,,true,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
18.500,271,254.143,,true,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
19.000,175,158.648,,true,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
19.500,114,99.035,,true,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
20.000,78,61.822,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
20.500,49,38.592,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
21.000,26,24.091,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
21.500,15,15.039,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
22.000,9,9.388,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
22.500,6,5.860,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
23.000,5,3.658,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
23.500,5,2.284,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
24.000,4,1.426,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
24.500,1,0.890,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
25.000,1,0.556,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
25.500,1,0.347,,false,0.9424230136077005,0.028818988463125927,0.4499970535423192,0.5108115744279745,shuffled-dipeptide,,2,8,200,71748,4586050,0.5
