x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,r_database,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
0.000,252569819,22174337492.498,251107247,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
0.500,252552042,14489853305.653,251090539,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
1.000,252537926,9468415860.919,251077932,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
1.500,252517061,6187150209.473,251057578,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
2.000,252475444,4043002364.586,251017476,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
2.500,252375273,2641905815.544,250915957,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
3.000,252144155,1726357223.864,250673706,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
3.500,251530301,1128090655.940,250029251,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
4.000,249859775,737152491.053,248266425,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
4.500,245222529,481693374.734,243416821,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
