x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,slope,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
0.000,50946936,3203423705.030,50020475,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
0.500,50870905,2119088300.675,49945144,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
1.000,50840197,1401792469.415,49911314,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
1.500,50794764,927296010.593,49859187,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
2.000,50712951,613413119.290,49768740,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
2.500,50568297,405777282.139,49613923,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
3.000,50279678,268424651.385,49310790,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
3.500,49654405,177564877.687,48656410,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
4.000,48366838,117460470.286,47334458,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
4.500,45808265,77700963.498,44747288,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
5.000,40692519,51399757.841,39630514,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
5.500,31481343,34001317.193,30463399,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
6.000,21908009,22492120.964,20990425,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
6.500,14833953,14878703.156,14031805,true,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
7.000,9924905,9842371.379,9235586,true,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
7.500,6589686,6510800.930,6009429,true,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
8.000,4355223,4306942.618,3874688,true,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
8.500,2874043,2849074.164,2478978,true,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
9.000,1897243,1884683.478,1577058,true,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
9.500,1257207,1246731.958,998483,true,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
10.000,837165,824722.344,629574,true,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
10.500,562578,545559.886,396957,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
11.000,383046,360891.870,250940,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
11.500,264399,238732.622,159404,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
12.000,185998,157923.382,102048,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
12.500,132815,104467.477,65851,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
13.000,96189,69106.003,42689,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
13.500,71395,45714.128,28230,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
14.000,53961,30240.231,18921,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
14.500,41573,20004.135,12848,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
15.000,32844,13232.882,9105,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
15.500,26346,8753.649,6550,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
16.000,21434,5790.603,4794,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
16.500,17576,3830.526,3456,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
17.000,14758,2533.921,2455,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
17.500,12278,1676.208,1709,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
18.000,10355,1108.824,1313,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
18.500,8761,733.495,997,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
