x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,slope,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
0.000,50020475,3545757807.071,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
0.500,49945144,2291077681.151,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
1.000,49911314,1480370974.747,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
1.500,49859187,956535974.709,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
2.000,49768740,618062017.237,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
2.500,49613923,399358379.875,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
3.000,49310790,258043871.211,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
3.500,48656410,166734048.476,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
4.000,47334458,107734559.983,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
4.500,44747288,69612268.885,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
5.000,39630514,44979698.066,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
5.500,30463399,29063457.785,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
6.000,20990425,18779240.741,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
6.500,14031805,12134133.709,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
7.000,9235586,7840423.524,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
7.500,6009429,5066059.309,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
8.000,3874688,3273414.612,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
8.500,2478978,2115104.180,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
9.000,1577058,1366666.378,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
9.500,998483,883066.190,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
10.000,629574,570589.800,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
10.500,396957,368684.390,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
11.000,250940,238223.992,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
11.500,159404,153927.510,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
12.000,102048,99459.665,,true,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
12.500,65851,64265.477,,true,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
13.000,42689,41524.889,,true,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
13.500,28230,26831.147,,true,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
14.000,18921,17336.841,,true,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
14.500,12848,11202.133,,true,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
15.000,9105,7238.215,,true,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
15.500,6550,4676.945,,true,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
16.000,4794,3021.990,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
16.500,3456,1952.647,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
17.000,2455,1261.695,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
17.500,1709,815.239,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
18.000,1313,526.764,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
18.500,997,340.366,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
19.000,795,219.926,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
19.500,628,142.105,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
20.000,508,91.820,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
20.500,397,59.329,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
21.000,333,38.335,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
21.500,273,24.770,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
22.000,219,16.005,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
22.500,148,10.342,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
23.000,118,6.682,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
23.500,101,4.318,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
24.000,80,2.790,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
24.500,68,1.803,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
25.000,62,1.165,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
25.500,56,0.753,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
26.000,27,0.486,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
26.500,23,0.314,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
27.000,18,0.203,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
27.500,17,0.131,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
28.000,12,0.085,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
28.500,10,0.055,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
29.000,8,0.035,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
29.500,7,0.023,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
30.000,6,0.015,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
30.500,5,0.010,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
31.000,5,0.006,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
31.500,4,0.004,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
32.000,4,0.003,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
32.500,4,0.002,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
33.000,4,0.001,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
33.500,4,0.001,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
34.000,3,0.000,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
34.500,2,0.000,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
35.000,2,0.000,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
35.500,2,0.000,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
36.000,2,0.000,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
36.500,1,0.000,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
37.000,1,0.000,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
37.500,1,0.000,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
38.000,1,0.000,,false,0.8734591900218549,0.015369468895477701,0.42782263924999075,0.5185214875668276,shuffled-dipeptide,,2,8,200,59508,3876813,0.5
