accession	pfam_id	domain_start	domain_end
Q13625	PF00018	1063	1111
Q14318	PF00254	113	201
Q9HD36	PF00452	49	163
Q9BXK5	PF00452	104	200
Q07812	PF00452	63	158
Q16611	PF00452	78	177
Q07820	PF00452	213	312
Q16548	PF00452	37	140
P10415	PF00452	97	195
Q92843	PF00452	46	144
Q07817	PF00452	90	188
Q9UMX3	PF00452	70	171
Q9UK96	PF00646	5	45
P98170	PF00653	166	231
P98170	PF00653	29	94
P98170	PF00653	268	331
O43236	PF00735	141	421
Q07817	PF02180	1	26
Q92843	PF02180	6	31
P10415	PF02180	7	32
O95197	PF02453	844	1008
Q12981	PF03908	133	224
Q14457	PF04111	264	445
Q9UK96	PF05048	702	893
O60238	PF06553	28	218
Q12983	PF06553	10	194
O43521	PF06773	4	40
O43521	PF08945	133	168
Q92934	PF10514	1	168
Q12982	PF12496	49	163
Q9UK96	PF13229	421	573
Q9UK96	PF13229	563	685
Q12982	PF13716	164	303
P98170	PF13920	446	490
Q13625	PF00023	991	1023
Q13625	PF00023	958	990
Q14457	PF15285	105	129
Q14457	PF17675	135	261
P98170	PF21290	369	420
Q13625	PF21801	3	82
